preferred_branch,email_subscribed
beta,Yes
alpha,Yes
alpha,Yes
alpha,No
alpha,No
beta,Yes
beta,Yes
beta,No
alpha,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
alpha,Yes
beta,Yes
alpha,Yes
alpha,No
alpha,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,No
beta,Yes
alpha,No
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,Yes
beta,No
alpha,No
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
alpha,No
beta,No
beta,No
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,No
beta,No
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
alpha,Yes
alpha,No
alpha,Yes
beta,No
beta,Yes
alpha,Yes
alpha,Yes
beta,Yes
alpha,Yes
beta,No
beta,No
beta,Yes
beta,Yes
alpha,No
beta,Yes
beta,Yes
beta,Yes
alpha,No
beta,No
alpha,Yes
alpha,No
alpha,No
beta,Yes
beta,Yes
beta,Yes
beta,No
alpha,Yes
beta,No
alpha,Yes
beta,No
beta,Yes
beta,Yes
beta,No
alpha,No
alpha,No
beta,Yes
alpha,No
alpha,Yes
alpha,Yes
beta,Yes
alpha,Yes
alpha,Yes
beta,No
beta,Yes
alpha,No
alpha,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,No
beta,No
beta,No
alpha,Yes
beta,Yes
alpha,No
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
alpha,Yes
beta,Yes
alpha,Yes
alpha,Yes
beta,Yes
alpha,Yes
beta,No
alpha,Yes
beta,Yes
beta,No
beta,Yes
alpha,Yes
alpha,No
alpha,Yes
alpha,No
beta,No
beta,No
beta,Yes
beta,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
beta,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,Yes
beta,Yes
alpha,No
beta,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,Yes
beta,Yes
alpha,Yes
beta,No
alpha,Yes
beta,Yes
beta,No
beta,Yes
alpha,No
beta,Yes
beta,No
alpha,Yes
beta,No
alpha,No
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
alpha,Yes
alpha,Yes
alpha,Yes
alpha,Yes
alpha,Yes
beta,No
alpha,Yes
alpha,Yes
beta,Yes
alpha,Yes
beta,Yes
beta,Yes
beta,Yes
beta,No
beta,Yes
alpha,No
alpha,No
alpha,No
beta,No
alpha,Yes
beta,Yes
beta,No
beta,Yes
beta,Yes
alpha,No
beta,No
beta,No
alpha,No
alpha,No
beta,Yes
beta,No
beta,Yes
beta,Yes
beta,No
beta,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,Yes
beta,No
beta,Yes
alpha,No
beta,No
beta,Yes
beta,Yes
beta,Yes
alpha,No
beta,No
alpha,No
alpha,Yes
alpha,No
beta,No
beta,No
beta,No
beta,Yes
beta,Yes
beta,No
alpha,No
alpha,Yes
alpha,Yes
alpha,Yes
alpha,Yes
alpha,Yes
alpha,No
beta,No
alpha,Yes
alpha,Yes
alpha,Yes
beta,Yes
alpha,No
alpha,No
beta,Yes
alpha,No
alpha,No
alpha,No
alpha,Yes
alpha,No
alpha,Yes
beta,Yes
beta,Yes
beta,Yes
alpha,Yes
beta,Yes
alpha,Yes
alpha,No
beta,No
alpha,Yes
alpha,No
